Index,Price
0,222644.0
1,98566.0
2,117109.0
3,127281.0
4,98805.0
5,71429.0
6,66954.0
7,182644.0
8,119660.0
9,214139.0
10,96687.0
11,97368.0
12,97231.0
13,99336.0
14,155521.0
15,314904.0
16,204802.0
17,75477.0
18,137520.0
19,72950.0
20,108128.0
21,148212.0
22,64950.0
23,130195.0
24,100676.0
25,234981.0
26,54335.0
27,91581.0
28,249038.0
29,63683.0
30,189510.0
31,86366.0
32,411371.0
33,167434.0
34,163305.0
35,56642.0
36,27010.0
37,79037.0
38,67156.0
39,98293.0
40,30684.0
41,89871.0
42,86738.0
43,183575.0
44,92848.0
45,75783.0
46,158696.0
47,216450.0
48,90239.0
49,53574.0
50,76753.0
51,131259.0
52,253502.0
53,50630.0
54,119318.0
55,170226.0
56,280775.0
57,64179.0
58,138065.0
59,200236.0
60,150426.0
61,137827.0
62,133736.0
63,88631.0
64,78591.0
65,133938.0
66,189573.0
67,146434.0
68,94345.0
69,168495.0
70,261153.0
71,168847.0
72,117628.0
73,80576.0
74,88013.0
75,215691.0
76,117694.0
77,82029.0
78,147481.0
79,156773.0
80,132552.0
81,61662.0
82,127855.0
83,175648.0
84,270318.0
85,119616.0
86,92800.0
87,131427.0
88,84595.0
89,88754.0
90,114475.0
91,208914.0
92,120180.0
93,122977.0
94,60074.0
95,106364.0
96,138425.0
97,107927.0
98,269123.0
99,53645.0
100,59347.0
101,79537.0
102,208222.0
103,419775.0
104,155063.0
105,225705.0
106,110930.0
107,126839.0
108,119186.0
109,340933.0
110,138870.0
111,79369.0
112,117418.0
113,82697.0
114,90090.0
115,139038.0
116,164532.0
117,81971.0
118,162127.0
119,140102.0
120,144075.0
121,13158.0
122,190054.0
123,117793.0
124,70738.0
125,259652.0
126,126933.0
127,252912.0
128,213550.0
129,254057.0
130,370559.0
131,63066.0
132,54569.0
133,163214.0
134,128670.0
135,116614.0
136,80024.0
137,70364.0
138,88536.0
139,134449.0
140,60261.0
141,87820.0
142,278952.0
143,126119.0
144,214338.0
145,73305.0
146,71903.0
147,108342.0
148,83071.0
149,83799.0
150,120251.0
151,48384.0
152,209002.0
153,175406.0
154,77645.0
155,351147.0
156,108799.0
157,117509.0
158,150426.0
159,134410.0
160,117234.0
161,215126.0
162,49485.0
163,64091.0
164,156722.0
165,111060.0
166,152170.0
167,136606.0
168,93121.0
169,102365.0
170,104080.0
171,117896.0
172,123847.0
173,524612.0
174,187048.0
175,369369.0
176,130866.0
177,190793.0
178,63440.0
179,72319.0
180,235239.0
181,103387.0
182,120598.0
183,55367.0
184,113541.0
185,304010.0
186,133237.0
187,30737.0
188,309627.0
189,153932.0
190,70848.0
191,251685.0
192,78845.0
193,83822.0
194,89348.0
195,288774.0
196,90909.0
197,134822.0
198,55864.0
199,151231.0
200,89758.0
201,110549.0
202,155763.0
203,63003.0
204,65441.0
205,125755.0
206,253437.0
207,148148.0
208,355392.0
209,223916.0
210,143025.0
211,110418.0
212,92279.0
213,113549.0
214,76328.0
215,182988.0
216,87084.0
217,137650.0
218,109162.0
219,127307.0
220,178169.0
221,148377.0
222,226325.0
223,137194.0
224,223543.0
225,97384.0
226,208177.0
227,164897.0
228,74092.0
229,136701.0
230,138374.0
231,50804.0
232,150686.0
233,250630.0
234,169378.0
235,77719.0
236,33333.0
237,131786.0
238,151257.0
239,112065.0
240,202138.0
241,67536.0
242,159069.0
243,65274.0
244,79942.0
245,168287.0
246,139766.0
247,566760.0
248,56497.0
249,62396.0
250,173450.0
251,58058.0
252,68109.0
253,92622.0
254,147885.0
255,229614.0
256,213818.0
257,51833.0
258,152016.0
259,116528.0
260,41498.0
261,141502.0
262,66555.0
263,127132.0
264,89201.0
265,170135.0
266,147180.0
267,98185.0
268,101403.0
269,93593.0
270,79038.0
271,177684.0
272,165047.0
273,38737.0
274,217482.0
275,82109.0
276,183687.0
277,201547.0
278,173371.0
279,162830.0
280,67882.0
281,245116.0
282,56763.0
283,71887.0
284,129567.0
285,120000.0
286,148082.0
287,77610.0
288,96343.0
289,222388.0
290,193732.0
291,87855.0
292,71936.0
293,136213.0
294,106061.0
295,412314.0
296,70112.0
297,91453.0
298,81540.0
299,126983.0
300,83991.0
301,159037.0
302,142301.0
303,153567.0
304,82577.0
305,90013.0
306,118116.0
307,98185.0
308,83021.0
309,146374.0
310,130038.0
311,129939.0
312,438059.0
313,125000.0
314,129104.0
315,173032.0
316,97692.0
317,89429.0
318,137484.0
319,200653.0
320,165769.0
321,135902.0
322,26539.0
323,64592.0
324,66545.0
325,95465.0
326,225269.0
